id,rooms,area,rent,norm_rent,latitude,longitude
4515306,2,69,16500,239.13,55.665198,12.533776
5208329,3,87,13300,152.87,55.616671,12.565964
5113429,4,123,19000,154.47,55.679003,12.573068
5015732,1,43,10000,232.56,55.616959,12.566361
4856746,2,79,13300,168.35,55.732739,12.561723
5162548,4,114,16249,142.54,55.656909,12.501427
5262418,3,155,20000,129.03,55.607516,12.581085
4984281,1,47,8003,170.28,55.695462,12.524558
5242790,2,63,13400,212.7,55.62027,12.573462
5073502,3,94,17800,189.36,55.670568,12.585183
5185285,4,96,14000,145.83,55.626185,12.576225
5242869,3,101,13700,135.64,55.682748,12.455784
5189042,3,148,22000,148.65,55.707048,12.576113
4991153,4,173,28800,166.47,55.667563,12.531727
5242867,4,106,14800,139.62,55.682748,12.455784
5261951,4,200,39000,195.0,55.673645,12.545902
4900082,5,152,22000,144.74,55.684119,12.585351
5242872,3,97,13500,139.18,55.682748,12.455784
5202617,4,97,13300,137.11,55.727318,12.474743
5184615,1,32,6350,198.44,55.72722,12.47929
5179307,2,194,32000,164.95,55.726972,12.577694
5268051,4,105,14950,142.38,55.618673,12.567705
5258834,1,55,8800,160.0,55.649554,12.551497
5027891,3,83,12600,151.81,55.676983,12.436204
5211185,3,88,13900,157.95,55.649703,12.550492
5184504,4,133,22167,166.67,55.707098,12.594016
5258833,5,128,18100,141.41,55.649703,12.550492
5268052,4,105,14950,142.38,55.618673,12.567705
5112334,3,89,13800,155.06,55.65554,12.548269
5195418,3,88,13600,154.55,55.652309,12.556465
5143986,2,71,11000,154.93,55.712147,12.472082
5209615,1,32,7334,229.19,55.705502,12.527119
5105803,5,123,16705,135.81,55.621711,12.572956
5262439,3,84,14000,166.67,55.660112,12.512251
5118157,2,62,15250,245.97,55.665578,12.533849
5121299,4,97,16120,166.19,55.664493,12.591439
5212658,3,85,12550,147.65,55.636125,12.581212
5217936,4,100,14100,141.0,55.711801,12.480088
5242847,3,109,14400,132.11,55.682748,12.455784
5218737,4,222,39600,178.38,55.680634,12.588782
5242868,3,87,13100,150.57,55.682748,12.455784
5239917,2,57,11700,205.26,55.638307,12.581241
5252431,4,102,17195,168.58,55.698748,12.53532
5242858,2,74,12300,166.22,55.682748,12.455784
5235762,4,122,16775,137.5,55.652386,12.511991
5212077,3,104,13350,128.37,55.739646,12.487692
5181918,3,75,12700,169.33,55.727596,12.479145
5262425,4,102,13700,134.31,55.727318,12.474743
5242791,3,66,12950,196.21,55.62027,12.573462
5238514,3,70,13450,192.14,55.664906,12.611227
5239922,3,100,15000,150.0,55.638175,12.581597
5239930,3,108,14600,135.19,55.638175,12.581597
5121290,3,103,14717,142.88,55.662119,12.596402
5242861,2,74,12500,168.92,55.682748,12.455784
5073496,3,120,20560,171.33,55.684585,12.551257
5190071,2,74,12950,175.0,55.646106,12.547326
5184704,3,103,20900,202.91,55.668146,12.556642
5189646,5,120,18910,157.58,55.657128,12.509917
5261850,4,111,14250,128.38,55.6341,12.580702
5239927,3,77,12900,167.53,55.638001,12.581605
5239336,2,57,11700,205.26,55.638315,12.581096
5143240,5,109,16200,148.62,55.658039,12.512355
5189050,3,149,36000,241.61,55.726972,12.577694
5272819,1,44,9000,204.55,55.667881,12.516962
5237946,2,66,11800,178.79,55.665348,12.457358
5243716,2,84,12600,150.0,55.683006,12.456226
5239347,3,77,13200,171.43,55.638001,12.581605
5022937,4,96,16500,171.88,55.619409,12.567984
5044231,2,76,11700,153.95,55.688955,12.449246
5112331,3,102,18380,180.2,55.688602,12.559418
5242866,4,112,15000,133.93,55.682748,12.455784
5123369,3,77,18500,240.26,55.671396,12.589815
5112327,3,161,21000,130.43,55.672672,12.558478
4740047,5,191,25000,130.89,55.676207,12.575812
5239377,2,71,12400,174.65,55.637749,12.581051
5243015,3,66,13750,208.33,55.618372,12.573111
5121287,4,99,15786,159.45,55.660841,12.50309
5246678,1,42,9100,216.67,55.705378,12.543452
5003213,1,47,8018,170.6,55.695462,12.524558
5239356,2,52,12000,230.77,55.637921,12.581371
5239425,2,69,12700,184.06,55.638325,12.58099
5242833,3,90,13500,150.0,55.682748,12.455784
5239370,2,64,11900,185.94,55.637841,12.58114
5239434,2,60,11800,196.67,55.634942,12.579119
5239401,2,61,11800,193.44,55.637897,12.580714
5242793,4,101,15100,149.5,55.677018,12.435548
5242792,4,101,14975,148.27,55.677018,12.435548
5242822,3,97,14500,149.48,55.619409,12.567984
5252870,4,93,12900,138.71,55.711542,12.480989
5242849,2,83,12800,154.22,55.682748,12.455784
5243757,2,115,25400,220.87,55.678158,12.581217
5237518,4,104,18145,174.47,55.65273,12.545434
5239352,3,65,13500,207.69,55.637921,12.581371
5239406,2,67,12400,185.07,55.637843,12.580475
5065032,5,128,19733,154.16,55.678026,12.494112
5239414,2,64,11700,182.81,55.638117,12.580798
