id, rooms, area, rent, street, zip_code, latitude, longitude
4856955,4,117,16946,Poppelstykket,2450,55.652386,12.5119906
5126124,1,28,7488,Jorisvej,2300,55.645948,12.6361201
5082596,3,107,19500,Frederik VI's Allé,2000,55.6767613,12.5315235
5188873,1,35,8000,Katrinedalsvej,2720,55.688441,12.4914759
5242851,4,103,14850,Aage Knudsens Strøg,2610,55.68274830000001,12.4557836
5243696,1,34,6800,Elstarvej,2500,55.6558982,12.5034846
5163219,3,124,18750,Kronprinsessegade,1308,55.6867364,12.5841335
5189160,4,107,17800,Islands Brygge,2300,55.66006059999999,12.5688409
5259278,1,34,8900,Amerikavej,1756,55.6689619,12.5419543
5243080,2,74,11000,Møllevangen,2610,55.70502029999999,12.4332312
5239390,3,91,14000,Emma Gads Vej,2300,55.6378427,12.580475
5206497,5,219,26950,Vesterbrogade,1620,55.6726375,12.5524931
5226441,3,85,14100,Vestre Teglgade,2300,55.6529113,12.5489895
5242802,3,87,13200,C.F. Møllers Allé,2300,55.6345925,12.579425
5246413,3,135,20000,L.I. Brandes Allé,1956,55.6833758,12.5412505
5181545,1,23,7000,C.F. Richs Vej,2000,55.68671,12.5039269
5181545,1,23,7000,C.F. Richs Vej,2000,55.68671,12.5039269
5239212,2,115,18100,VODROFFSVEJ,1900,55.6744905,12.5546629
5224860,3,70,13250,Else Afelts Vej,2300,55.619128,12.5686257
5092337,2,89,12815,Gyngemose Parkvej,2860,55.725437,12.4786249
5238113,3,83,12600,Else Alfelts Vej,2300,55.6176115,12.5677736
5239424,2,59,11700,Emma Gads Vej,2300,55.638214,12.58092
5243759,3,141,20900,Amager Boulevard,2300,55.66903900000002,12.5806803
5216955,1,37,7900,Nordens Plads,2000,55.67061899999998,12.501294
4813572,3,122,15800,Amagerbrogade,2300,55.6644419,12.6010825
5252438,3,81,13225,Ingrid Marievej,2500,55.6567609,12.5037915
5189682,3,96,14975,Theodore Roosevelts Vej,2450,55.6490514,12.5352729
5143984,3,89,13600,Pladehals Allé,2450,55.6555135,12.5478871
5237942,2,53,10200,Rødovre Port,2610,55.6652287,12.4562051
5127791,5,161,21627,Gammel Kongevej,1850,55.6750968,12.5482709
4873697,3,143,18500,Vesterbrogade,1620,55.6726718,12.5584782
5234625,2,108,17000,Dronningensgade,1420,55.672118,12.5920802
5212120,4,125,15800,Hannemanns Allé,2300,55.625388,12.5714902
5239438,1,60,14000,Jacob Erlandsensgade,2100,55.7075135,12.5762157
5239424,2,59,11700,Emma Gads Vej,2300,55.638214,12.58092
5239438,1,60,14000,Jacob Erlandsensgade,2100,55.7075135,12.5762157
5239326,3,155,23500,H.C. Andersens Boulevard,1553,55.6753143,12.568886
5259991,1,45,8300,Kobbelvænget,2700,55.7112967,12.4806054
5242874,5,148,20995,Nordre Teglkaj,2450,55.6537513,12.5495988
5224860,3,70,13250,Else Afelts Vej,2300,55.619128,12.5686257
5212120,4,125,15800,Hannemanns Allé,2300,55.625388,12.5714902
5179337,6,270,40365,Margrethevej,2900,55.734451,12.573912
5194787,3,87,14600,Ben Websters Vej,2450,55.6465652,12.5520061
5211186,1,51,8575,Støberigade,2450,55.6495537,12.5514972
4856612,2,80,12826,Poul Reichhardts Vej,2500,55.65638680000001,12.509244
5086189,1,49,12500,Rosenvængets Hovedvej,2100,55.7013125,12.5854108
5242858,2,74,12300,Aage Knudsens Strøg,2610,55.68274830000001,12.4557836
5237947,1,35,7500,Rødovre Port,2610,55.66509569999998,12.4561535
5239215,3,59,11700,Gyngemose Parkvej,2860,55.7275956,12.479145
5242835,2,68,11900,Aage Knudsens Strøg,2610,55.68274830000001,12.4557836
5234625,2,108,17000,Dronningensgade,1420,55.672118,12.5920802
5194142,4,101,14775,Ørestads Boulevard,2300,55.636709,12.582897
5242834,3,90,13400,Aage Knudsens Strøg,2610,55.68274830000001,12.4557836
5243698,1,34,6800,Elstarvej,2500,55.6558982,12.5034846
5212726,4,105,14437,Kaffevej,2610,55.67617689999999,12.4360383
5239216,3,60,11700,Gyngemose Parkvej,2860,55.7275956,12.479145
5242866,4,112,15000,Aage Knudsens Strøg,2610,55.68274830000001,12.4557836
5181187,1,49,8500,Domus Vista,2000,55.6710648,12.5013937
5242850,2,83,12600,Aage Knudsens Strøg,2610,55.68274830000001,12.4557836
5243015,3,66,13750,Robert Jacobsens Vej,2300,55.6183723,12.5731109
5243084,2,55,10500,Møllevangen,2610,55.7051143,12.4353148
5252438,3,81,13225,Ingrid Marievej,2500,55.6567609,12.5037915
5242981,4,105,14500,Børge Olsens Plads,2610,55.67117589999999,12.4728844
5242790,2,63,13400,Robert Jacobsens Vej,2300,55.6202704,12.5734617
5028575,4,103,15500,Kenny Drews Vej,2450,55.6448471,12.5517397
4880219,1,14,5150,Rabarbervej,2400,55.6961805,12.5240192
5112376,3,90,13240,Robert Jacobsens Vej,2300,55.6215844,12.5734099
5220336,3,95,14600,Michael Strunges Vej,2300,55.6377956,12.5818321
5179646,1,37,7700,Lærkevej,2400,55.7017902,12.5305111
5083785,1,32,7334,Theklavej,2400,55.70550189999999,12.5271191
5232153,4,111,16200,Vestre Teglgade,2450,55.6531338,12.5481159
5244175,1,57,11400,Havneholmen,2450,55.6604043,12.5596727
5248808,4,111,14047,Kaffevej,2610,55.6761518,12.4361588
5243693,1,34,6800,Elstarvej,2500,55.6558982,12.5034846
5112371,3,108,20200,Bordeauxgade,2150,55.7065907,12.5953517
5242860,2,74,12400,Aage Knudsens Strøg,2610,55.68274830000001,12.4557836
5248823,1,12,4000,ja,2200,55.6928897,12.547805
5243688,1,48,8000,Elstarvej,2500,55.6558982,12.5034846
5238455,3,120,24995,Martinsvej,1926,55.68017039999999,12.5555916
5227993,4,108,16500,Else Afelts Vej,2300,55.6194089,12.5679844
5163222,4,95,17000,Lundtoftegade,2200,55.6974419,12.5386965
5243698,1,34,6800,Elstarvej,2500,55.6558982,12.5034846
5242849,2,83,12800,Aage Knudsens Strøg,2610,55.68274830000001,12.4557836
5242846,2,76,11950,Aage Knudsens Strøg,2610,55.68274830000001,12.4557836
5242791,3,66,12950,Robert Jacobsens Vej,2300,55.6202704,12.5734617
5153025,3,97,15999,Strandlodsvej,2300,55.664589,12.6226802
5185285,4,96,14000,Hannemanns Allé,2300,55.626185,12.5762249
4559159,2,68,12500,Klareboderne,1115,55.6812487,12.5788233
5247677,2,53,11311,Ørestads Boulevard,2300,55.636709,12.582897
5118156,4,110,17250,A.C. Meyers Vænge,2450,55.6514098,12.5418409
5077231,2,70,10900,Else Sørensens Vej,2610,55.68368220000001,12.4586118
5081664,2,67,11050,Børge Olsens Plads,2610,55.67117589999999,12.4728844
5246611,4,121,21340,Nørrebrogade,2200,55.6889688,12.5590451
5216871,4,104,16500,Tranevej,2400,55.7016409,12.5313613
5179172,3,90,13950,Glostervej,2500,55.6538587,12.5037334
5195416,4,112,15000,Ørestads Boulevard,2300,55.6383592,12.5836597
5149578,3,108,17565,Nytorv,1450,55.6777785,12.5734097
5238455,3,120,24995,Martinsvej,1926,55.68017039999999,12.5555916
4856927,3,107,17495,Nygade,1164,55.6781275,12.5734453
5189147,3,69,13100,Fanny Jensens Plads,2450,55.650043,12.53649
5243689,1,48,8000,Elstarvej,2500,55.6558982,12.5034846
5249704,1,56,11900,Lollandsvej,2000,55.686667,12.5285295
5171425,4,111,17200,Vestre Teglgade,2450,55.6531338,12.5481159
5242867,4,106,14800,Aage Knudsens Strøg,2610,55.68274830000001,12.4557836
5243761,3,96,14900,Strandlodsvej,2300,55.66315549999998,12.6238577
5179307,2,194,32000,Tuborg Bakkedrag,2900,55.7269719,12.5776945
5243016,2,63,12800,Robert Jacobsens Vej,2300,55.6183723,12.5731109
5242800,4,102,13750,Ørestads Boulevard,2300,55.6383592,12.5836597
5247356,1,40,8095,Nordre Fasanvej,2000,55.6953574,12.5347536
5242853,4,103,14950,Aage Knudsens Strøg,2610,55.68274830000001,12.4557836
5246611,4,121,21340,Nørrebrogade,2200,55.6889688,12.5590451
5184615,1,32,6350,Gyngemose Parkvej,2860,55.7272197,12.4792895
5238514,3,70,13450,Oldenborggade,2300,55.6649063,12.6112274
5227993,4,108,16500,Else Afelts Vej,2300,55.6194089,12.5679844
5179338,5,192,31090,Margrethevej,2900,55.734451,12.573912
5211319,3,89,13500,Else Alfelts Vej,2300,55.6169586,12.5663611
5146843,3,96,20000,Fadet,1799,55.6654905,12.5312492
