Sagsnr,available_from,rooms,area,rent,per_area_price,address,zip_code,latitude,longitude
1770008402177009,2022-04-20,1,31.0,8700,842.0,"Amerikavej 19B, 3. 313, 1756 København V",1756,55.66899705,12.54217717
1770008403177009,2022-05-09,1,34.0,8600,768.0,"Amerikavej 19C, 3. 325, 1756 København V",1756,55.66899705,12.54217717
1770007937177009,2022-04-13,1,33.0,8350,533.0,"Dybbølsbro 3, 13. 7, 1577 København V",1577,55.65571596,12.51155621
1770008441177009,2022-07-07,1,32.0,7100,666.0,"Gl. Køge Landevej 40, 2. 224, 2500 Valby",2500,55.65571596,12.51155621
1770008373177009,2022-04-13,2,58.0,11850,613.0,"Emma Gads Vej 1, 1. th, 2300 København S",2300,55.63563482,12.57837225
1770008442177009,2022-07-05,1,29.0,7200,745.0,"Gl. Køge Landevej 40, 4. 410, 2500 Valby",2500,55.65571596,12.51155621
11802829,2022-07-01,4,105.0,17300,494.0,"Alliancevej 37, 1. tv, 2450 København SV",2450,55.6482888,12.55356288
1770008443177009,2022-04-28,3,70.0,12950,555.0,"C. F. Møllers Allé 61, 2. tv, 2300 København S",2300,55.63563482,12.57837225
1770008106177009,2022-04-13,1,29.0,6900,714.0,"Gl. Køge Landevej 40, 1. 115, 2500 Valby",2500,55.65571596,12.51155621
1770008149177009,2022-04-13,1,29.0,7000,724.0,"Gl. Køge Landevej 40, 2. 205, 2500 Valby",2500,55.65571596,12.51155621
1770008444177009,2022-04-25,3,84.0,15000,536.0,"Strandlodsvej 17D, 3. th, 2300 København S",2300,55.66469902,12.62250075
1770008107177009,2022-04-13,1,32.0,7200,675.0,"Gl. Køge Landevej 40, 4. 403, 2500 Valby",2500,55.65571596,12.51155621
1770008445177009,2022-05-25,1,26.0,7550,871.0,"Finsensvej 15, 1. 118, 2000 Frederiksberg",2000,55.68076211,12.51831613
1770008447177009,2022-04-20,2,55.0,11900,649.0,"C. F. Møllers Allé 63, 4. th, 2300 København S",2300,55.63563482,12.57837225
10-X00017663426001,2022-10-15,1,36.0,7100,592.0,"Richard Mortensens Vej 42, st. tv, 2300 København S",2300,55.62057061,12.57080827
10-X00017253426001,2022-10-15,3,81.0,12300,456.0,"Else Alfelts Vej 37, 1. 2, 2300 København S",2300,55.62078032,12.56938804
1770008092177009,2022-06-21,4,84.0,13650,583.0,"C. F. Møllers Allé 63, 3. tv, 2300 København S",2300,55.63563482,12.57837225
1770008451177009,2022-04-25,1,35.0,7400,634.0,"Ved Amagerbanen 31a, 1. 4, 2300 København S",2300,55.66603984,12.62730781
1770008452177009,2022-05-20,3,86.0,13200,460.0,"Ved Amagerbanen 31C, 3. 1, 2300 København S",2300,55.66603984,12.62730781
10-X00016903426001,2022-10-15,3,75.0,11700,468.0,"Richard Mortensens Vej 40, 1. 4, 2300 København S",2300,55.62070049,12.57084377
10-X00016943426001,2022-10-15,3,75.0,11800,472.0,"Richard Mortensens Vej 40, 2. 4, 2300 København S",2300,55.62070049,12.57084377
10-X00016983426001,2022-10-15,3,75.0,11900,476.0,"Richard Mortensens Vej 40, 3. 4, 2300 København S",2300,55.62070049,12.57084377
10-X00017013426001,2022-10-15,3,75.0,12100,484.0,"Richard Mortensens Vej 40, 4. 4, 2300 København S",2300,55.62070049,12.57084377
10-X00017083426001,2022-10-15,3,75.0,12250,490.0,"Richard Mortensens Vej 40, 5. th, 2300 København S",2300,55.62070049,12.57084377
10-X00017273426001,2022-10-15,5,126.0,15800,376.0,"Else Alfelts Vej 37, 2. 1, 2300 København S",2300,55.62078032,12.56938804
1770008454177009,2022-05-19,4,89.0,15200,512.0,"Ved Amagerbanen 31D, 1. 1, 2300 København S",2300,55.66603984,12.62730781
1770008460177009,2022-05-19,3,77.0,13100,510.0,"Ved Amagerbanen 31E, 2. 3, 2300 København S",2300,55.66603984,12.62730781
1770008461177009,2022-05-19,1,36.0,7400,617.0,"Ved Amagerbanen 31B, 1. 4, 2300 København S",2300,55.66603984,12.62730781
1770008463177009,2022-05-10,2,59.0,11800,600.0,"Gertrude Steins Vej 24, 3. tv, 2300 København S",2300,55.63968386,12.58268348
